method,target,feature_space,split_mode,grid_config_name,split,prediction_target,count_topN,mean_absolute_error,median_absolute_error,max_absolute_error,mean_relative_error,median_relative_error,max_relative_error
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_adam_batch_64_act_elu_drop_0.2,test,CPUTime,100,32989.171231689455,26080.101989746094,75424.35791015625,0.9159473450250097,0.9345407171135096,0.9738151687860024
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_adam_batch_64_act_elu_drop_0.2,train,CPUTime,100,42223.00509887695,32797.222900390625,247196.64306640625,1.7365550724998176,0.8658860583379175,67.02189127604167
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_adam_batch_64_act_elu_drop_0.2,val,CPUTime,100,17785.57721130371,13657.00634765625,66728.498046875,1.2894178010558184,0.7514670262656946,9.92128537735849
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_adam_batch_64_act_elu_drop_0.3,test,CPUTime,100,32944.93976196289,26080.150634765625,75555.89135742188,0.9200832505698936,0.9328891007189701,0.979813867609868
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_adam_batch_64_act_elu_drop_0.3,train,CPUTime,100,41530.59219909668,32954.753662109375,246798.642578125,1.6521931685959015,0.8562633385371352,59.621591073495374
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_adam_batch_64_act_elu_drop_0.3,val,CPUTime,100,17308.614413146974,13718.1884765625,65865.06103515625,1.563266163589588,0.8741418461167516,10.685824677975326
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_adam_batch_64_act_relu_drop_0.2,test,CPUTime,100,36409.8009135437,29289.780822753906,119395.3828125,22.149959781977717,0.9643665583143892,1681.6251100352113
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_adam_batch_64_act_relu_drop_0.2,train,CPUTime,100,39262.17504211426,29634.051513671875,246706.0517578125,1.293522125617585,0.8189664596474329,41.176002273383375
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_adam_batch_64_act_relu_drop_0.2,val,CPUTime,100,18549.739706115724,15227.033935546875,67703.5263671875,1.8669971305700404,0.7471461563612871,11.605290162373004
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_adam_batch_64_act_relu_drop_0.3,test,CPUTime,100,35538.62335327148,27146.402099609375,102755.765625,19.423822748866822,0.9535594623770998,1447.2643045774648
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_adam_batch_64_act_relu_drop_0.3,train,CPUTime,100,39280.78358154297,30195.468505859375,245940.4423828125,0.8454898569711371,0.8202634493932734,3.9511522472199343
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_adam_batch_64_act_relu_drop_0.3,val,CPUTime,100,19324.462047729492,16827.903289794922,67965.130859375,2.0426225545944585,0.7884610502896066,14.834344384978229
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_rmsprop_batch_128_act_elu_drop_0.2,test,CPUTime,100,32904.92653442383,25960.286682128906,75815.05187988281,1.3231664826551233,0.9298267376939391,42.075757087628865
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_rmsprop_batch_128_act_elu_drop_0.2,train,CPUTime,100,43784.321155395504,35237.02111816406,248310.33129882812,2.1383652065175123,0.9012660066078426,95.4280960648148
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_rmsprop_batch_128_act_elu_drop_0.2,val,CPUTime,100,16739.687011413575,11645.36767578125,68459.92431640625,1.2102031622386726,0.818505414735404,9.060504761238812
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_rmsprop_batch_128_act_elu_drop_0.3,test,CPUTime,100,33316.13200195313,26204.451599121094,75657.38146972656,0.9059954213713947,0.9306748748398299,0.9755359283804484
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_rmsprop_batch_128_act_elu_drop_0.3,train,CPUTime,100,44544.879998779295,34499.35437011719,249210.41259765625,1.6244806650819124,0.911616040922602,57.35656286168982
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_rmsprop_batch_128_act_elu_drop_0.3,val,CPUTime,100,18107.264009094237,14009.0068359375,68706.4296875,0.7399309888633797,0.7415399164522603,0.9782905044973296
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_rmsprop_batch_128_act_relu_drop_0.2,test,CPUTime,100,35030.9646875,26793.49560546875,106678.9296875,19.958525715042335,0.9331304967276869,1502.520136443662
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_rmsprop_batch_128_act_relu_drop_0.2,train,CPUTime,100,44044.56707641602,34513.84484863281,249261.4978027344,1.5740780991138112,0.8987349857073426,53.35546422887732
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_minmax_opt_rmsprop_batch_128_act_relu_drop_0.2,val,CPUTime,100,20040.76692871094,17043.5625,70005.81811523438,2.3221363088204052,0.8382738932913212,16.19730956322569
