method,target,feature_space,split_mode,grid_config_name,grid_config_path,config_architecture,config_scaler,config_optimizer,config_batch_size,config_activation,config_dropout,batch_size,dropout_rate,train_mae,val_mae,test_mae,train_error_std,val_error_std,test_error_std,epochs,train_mean_error_CPUTime,train_median_error_CPUTime,train_error_std_CPUTime,train_max_error_CPUTime,train_p95_abs_error_CPUTime,val_mean_error_CPUTime,val_median_error_CPUTime,val_error_std_CPUTime,val_max_error_CPUTime,val_p95_abs_error_CPUTime,test_mean_error_CPUTime,test_median_error_CPUTime,test_error_std_CPUTime,test_max_error_CPUTime,test_p95_abs_error_CPUTime,train_mean_error_max_rss,train_median_error_max_rss,train_error_std_max_rss,train_max_error_max_rss,train_p95_abs_error_max_rss,val_mean_error_max_rss,val_median_error_max_rss,val_error_std_max_rss,val_max_error_max_rss,val_p95_abs_error_max_rss,test_mean_error_max_rss,test_median_error_max_rss,test_error_std_max_rss,test_max_error_max_rss,test_p95_abs_error_max_rss
ga,memory,raw,record,ga_arch_64_32_scaler_standard_opt_rmsprop_batch_64_act_relu_drop_0.3,server/run_2025_12_27/results/ga/memory/raw/record/ga_arch_64_32_scaler_standard_opt_rmsprop_batch_64_act_relu_drop_0.3,64_32,standard_opt_rmsprop_batch_64_act_relu_drop_0,rmsprop_batch_64_act_relu_drop_0,64,relu_drop_0,0.3,64,0.3,27999.882001270664,32215.34999327686,110123.87664065268,61722.44954721752,60245.321848917534,319215.0687423546,24,,,,,,,,,,,,,,,,27999.882001270664,5981.962532043457,61722.44954721752,1186154.30859375,155503.3095703125,32215.34999327686,11877.140625,60245.321848917534,651164.25,123920.31874999996,110123.87664065268,14781.4375,319215.0687423546,2452360.75,526999.2740234383
ga,memory,raw,temporal,ga_arch_128_64_scaler_minmax_opt_adam_batch_128_act_elu_drop_0.2,server/run_2025_12_27/results/ga/memory/raw/temporal/ga_arch_128_64_scaler_minmax_opt_adam_batch_128_act_elu_drop_0.2,128_64,minmax_opt_adam_batch_128_act_elu_drop_0,adam_batch_128_act_elu_drop_0,128,elu_drop_0,0.2,128,0.2,13969.6143534504,124787.14872128807,54736.50316661703,26590.27312795614,333135.3865569392,111291.11903964258,100,,,,,,,,,,,,,,,,13969.6143534504,4358.4339599609375,26590.27312795614,1165824.8828125,50984.521484375,124787.14872128807,6372.9617919921875,333135.3865569392,2550026.078125,477254.06874999974,54736.50316661703,5047.674114227295,111291.11903964258,621460.9921875,316754.0753906251
ga,memory,raw,temporal,ga_arch_128_64_scaler_minmax_opt_adam_batch_128_act_elu_drop_0.3,server/run_2025_12_27/results/ga/memory/raw/temporal/ga_arch_128_64_scaler_minmax_opt_adam_batch_128_act_elu_drop_0.3,128_64,minmax_opt_adam_batch_128_act_elu_drop_0,adam_batch_128_act_elu_drop_0,128,elu_drop_0,0.3,128,0.3,14246.992905345483,126106.64965740289,55612.70457996386,26718.03496292441,334013.3004468243,112193.24838637256,100,,,,,,,,,,,,,,,,14246.992905345483,4509.033508300781,26718.03496292441,1166448.0,51740.5244140625,126106.64965740289,7103.427917480469,334013.3004468243,2555896.5,482042.57343749976,55612.70457996386,5668.073699951172,112193.24838637256,625923.6171875,320555.3195312501
ga,memory,raw,temporal,ga_arch_128_64_scaler_minmax_opt_adam_batch_128_act_relu_drop_0.2,server/run_2025_12_27/results/ga/memory/raw/temporal/ga_arch_128_64_scaler_minmax_opt_adam_batch_128_act_relu_drop_0.2,128_64,minmax_opt_adam_batch_128_act_relu_drop_0,adam_batch_128_act_relu_drop_0,128,relu_drop_0,0.2,128,0.2,13672.637315844911,122279.93641638338,53782.770493216754,26932.562028139015,325458.64103608736,106453.43244053613,100,,,,,,,,,,,,,,,,13672.637315844911,3739.6254739761353,26932.562028139015,1172638.28515625,52186.46484375,122279.93641638338,8320.135269165039,325458.64103608736,2505804.96875,459167.59062499966,53782.770493216754,6126.645644187927,106453.43244053613,600318.25,303845.8984375002
ga,memory,raw,temporal,ga_arch_128_64_scaler_minmax_opt_adam_batch_128_act_relu_drop_0.3,server/run_2025_12_27/results/ga/memory/raw/temporal/ga_arch_128_64_scaler_minmax_opt_adam_batch_128_act_relu_drop_0.3,128_64,minmax_opt_adam_batch_128_act_relu_drop_0,adam_batch_128_act_relu_drop_0,128,relu_drop_0,0.3,128,0.3,13122.477472022329,122253.84186752116,53413.01961172739,26983.559313007427,326126.1555273094,106950.12089292452,100,,,,,,,,,,,,,,,,13122.477472022329,2940.323028564453,26983.559313007427,1172148.31640625,51813.2412109375,122253.84186752116,7993.78515625,326126.1555273094,2508318.84375,461123.7749999997,53413.01961172739,5646.889251708984,106950.12089292452,601252.734375,304633.24335937516
ga,memory,raw,temporal,ga_arch_128_64_scaler_minmax_opt_adam_batch_64_act_elu_drop_0.2,server/run_2025_12_27/results/ga/memory/raw/temporal/ga_arch_128_64_scaler_minmax_opt_adam_batch_64_act_elu_drop_0.2,128_64,minmax_opt_adam_batch_64_act_elu_drop_0,adam_batch_64_act_elu_drop_0,64,elu_drop_0,0.2,64,0.2,12934.947675473926,123705.41872934956,53031.62833760996,26476.482135726703,331792.6408121714,110840.78813272272,100,,,,,,,,,,,,,,,,12934.947675473926,2807.8978271484375,26476.482135726703,1166767.76953125,50292.693359375,123705.41872934956,6571.378173828125,331792.6408121714,2537754.046875,467551.97187499824,53031.62833760996,5037.707092285156,110840.78813272272,618159.78125,312911.04023437516
ga,memory,raw,temporal,ga_arch_128_64_scaler_minmax_opt_adam_batch_64_act_elu_drop_0.3,server/run_2025_12_27/results/ga/memory/raw/temporal/ga_arch_128_64_scaler_minmax_opt_adam_batch_64_act_elu_drop_0.3,128_64,minmax_opt_adam_batch_64_act_elu_drop_0,adam_batch_64_act_elu_drop_0,64,elu_drop_0,0.3,64,0.3,12617.659599221826,123892.01899749272,53019.36602118813,26649.790256466455,332980.0665378773,111284.43243308784,100,,,,,,,,,,,,,,,,12617.659599221826,2207.690216064453,26649.790256466455,1168040.15234375,50453.982421875,123892.01899749272,6937.6142578125,332980.0665378773,2547414.5,470561.6921874992,53019.36602118813,5326.529052734375,111284.43243308784,617455.4296875,313949.315625
ga,memory,raw,temporal,ga_arch_128_64_scaler_minmax_opt_adam_batch_64_act_relu_drop_0.2,server/run_2025_12_27/results/ga/memory/raw/temporal/ga_arch_128_64_scaler_minmax_opt_adam_batch_64_act_relu_drop_0.2,128_64,minmax_opt_adam_batch_64_act_relu_drop_0,adam_batch_64_act_relu_drop_0,64,relu_drop_0,0.2,64,0.2,12351.981612121032,120636.2623840776,51947.47930879487,26400.911249365097,324562.1075861213,106125.12614691684,100,,,,,,,,,,,,,,,,12351.981612121032,1888.051513671875,26400.911249365097,1170848.93359375,50370.544921875,120636.2623840776,7006.020751953125,324562.1075861213,2492935.328125,450641.204687496,51947.47930879487,4377.709411621094,106125.12614691684,591877.3828125,301877.708203125
ga,memory,raw,temporal,ga_arch_128_64_scaler_minmax_opt_adam_batch_64_act_relu_drop_0.3,server/run_2025_12_27/results/ga/memory/raw/temporal/ga_arch_128_64_scaler_minmax_opt_adam_batch_64_act_relu_drop_0.3,128_64,minmax_opt_adam_batch_64_act_relu_drop_0,adam_batch_64_act_relu_drop_0,64,relu_drop_0,0.3,64,0.3,12538.486006383651,120647.6515201802,52007.11241472308,26538.268652189177,324731.816129264,105797.31881541958,100,,,,,,,,,,,,,,,,12538.486006383651,1916.2360229492188,26538.268652189177,1170387.4453125,50891.361328125,120647.6515201802,7128.4122314453125,324731.816129264,2496007.328125,451946.89999999694,52007.11241472308,4690.8231201171875,105797.31881541958,592024.8359375,301296.47265625
ga,memory,raw,temporal,ga_arch_128_64_scaler_minmax_opt_rmsprop_batch_128_act_elu_drop_0.2,server/run_2025_12_27/results/ga/memory/raw/temporal/ga_arch_128_64_scaler_minmax_opt_rmsprop_batch_128_act_elu_drop_0.2,128_64,minmax_opt_rmsprop_batch_128_act_elu_drop_0,rmsprop_batch_128_act_elu_drop_0,128,elu_drop_0,0.2,128,0.2,14642.68740395262,125469.35443733072,55723.050414875186,26610.581425508168,333719.748992412,111809.71888936668,100,,,,,,,,,,,,,,,,14642.68740395262,5444.794921875,26610.581425508168,1164793.796875,51118.943359375,125469.35443733072,7425.9619140625,333719.748992412,2553827.65625,481231.1546874995,55723.050414875186,7042.207763671875,111809.71888936668,625829.375,321013.36171875003
