1 16 484 0 0 0 0 0 0 0 0 0 398 0 0 0 0 0 0 0 0 0 27 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 64 4 1 8 -1 -1 -1 1 1 10 0.03 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 1 -1 64 2 0.101 8 -1 -1 -1 -1 -1 1 8 -1 -1 -1 -1 -1 -1 200 0 0 0 0 0 0 0 0 0 261 2489 467	v1.0-uslims3_Aalto-42
1 16 496 0 0 0 0 0 0 0 0 0 599 0 0 0 0 0 0 0 0 0 27 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 64 4 1 8 -1 -1 -1 10 1 1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 1 -1 64 2 0.101 8 -1 -1 -1 -1 -1 1 8 -1 -1 -1 -1 -1 -1 200 0 0 0 0 0 0 0 0 0 405 4301 443	v1.0-uslims3_Aalto-43
1 16 488 0 0 0 0 0 0 0 0 0 599 0 0 0 0 0 0 0 0 0 27 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 64 4 1 8 -1 -1 -1 10 1 1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 1 -1 64 2 0.101 8 -1 -1 -1 -1 -1 1 8 -1 -1 -1 -1 -1 -1 200 0 0 0 0 0 0 0 0 0 333 4125 370	v1.0-uslims3_Aalto-44
1 16 489 0 0 0 0 0 0 0 0 0 599 0 0 0 0 0 0 0 0 0 27 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 64 4 1 8 -1 -1 -1 10 1 1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 1 -1 64 2 0.101 8 -1 -1 -1 -1 -1 1 8 -1 -1 -1 -1 -1 -1 200 0 0 0 0 0 0 0 0 0 262 4154 297	v1.0-uslims3_Aalto-45
1 16 480 0 0 0 0 0 0 0 0 0 599 0 0 0 0 0 0 0 0 0 27 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 64 4 1 8 -1 -1 -1 10 1 1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 1 -1 64 2 0.101 8 -1 -1 -1 -1 -1 1 8 -1 -1 -1 -1 -1 -1 200 0 0 0 0 0 0 0 0 0 216 3930 251	v1.0-uslims3_Aalto-46
1 16 485 0 0 0 0 0 0 0 0 0 599 0 0 0 0 0 0 0 0 0 27 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 64 4 1 8 -1 -1 -1 10 1 1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 1 -1 64 2 0.101 8 -1 -1 -1 -1 -1 1 8 -1 -1 -1 -1 -1 -1 200 0 0 0 0 0 0 0 0 0 260 4134 294	v1.0-uslims3_Aalto-47
1 16 484 0 0 0 0 0 0 0 0 0 398 0 0 0 0 0 0 0 0 0 27 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 64 4 1 8 -1 -1 -1 10 1 1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 1 -1 64 2 0.101 8 -1 -1 -1 -1 -1 1 8 -1 -1 -1 -1 -1 -1 200 0 0 0 0 0 0 0 0 0 84 2587 118	v1.0-uslims3_Aalto-48
3 16 496 0 0 0 0 0 0 0 0 0 599 0 0 0 0 0 0 0 0 0 27 vbar 0 s ff0 1.0E-5 50 -1 -1 1 2 -1 -1 -1 -1 100 -1 100 -1 1 -1 -1 3 0 50 20 20 20 4 200 0.05 1 -1 100 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 200 0 0 0 0 0 0 0 0 0 3651 1099 3720	v1.0-uslims3_Aalto-49
3 16 488 0 0 0 0 0 0 0 0 0 599 0 0 0 0 0 0 0 0 0 27 vbar 0 s ff0 1.0E-5 50 -1 -1 1 2 -1 -1 -1 -1 100 -1 100 -1 1 -1 -1 3 0 50 20 20 20 4 200 0.05 1 -1 100 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 200 0 0 0 0 0 0 0 0 0 17280 1926 17335	v1.0-uslims3_Aalto-50
3 16 489 0 0 0 0 0 0 0 0 0 599 0 0 0 0 0 0 0 0 0 27 vbar 0 s ff0 1.0E-5 50 -1 -1 1 2 -1 -1 -1 -1 100 -1 100 -1 1 -1 -1 3 0 50 20 20 20 4 200 0.05 1 -1 100 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 200 0 0 0 0 0 0 0 0 0 14766 1429 15286	v1.0-uslims3_Aalto-51
3 16 485 0 0 0 0 0 0 0 0 0 599 0 0 0 0 0 0 0 0 0 27 vbar 0 s ff0 1.0E-5 50 -1 -1 1 2 -1 -1 -1 -1 100 -1 100 -1 1 -1 -1 3 0 50 20 20 20 4 200 0.05 1 -1 100 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 200 0 0 0 0 0 0 0 0 0 11596 1445 12097	v1.0-uslims3_Aalto-52
1 16 496 0 0 0 0 0 0 0 0 0 599 0 0 0 0 0 0 0 0 0 27 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 64 4 1 8 -1 -1 -1 1 80 1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 0 -1 64 2 0.101 8 -1 -1 -1 -1 -1 0 8 -1 -1 -1 -1 -1 -1 200 0 0 0 0 0 0 0 0 0 2880 4643 3133	v1.0-uslims3_Aalto-59
1 16 489 0 0 0 0 0 0 0 0 0 599 0 0 0 0 0 0 0 0 0 27 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 64 4 1 8 -1 -1 -1 1 80 1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 0 -1 64 2 0.101 8 -1 -1 -1 -1 -1 0 8 -1 -1 -1 -1 -1 -1 200 0 0 0 0 0 0 0 0 0 2717 4635 3271	v1.0-uslims3_Aalto-60
1 16 485 0 0 0 0 0 0 0 0 0 599 0 0 0 0 0 0 0 0 0 27 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 64 4 1 8 -1 -1 -1 1 80 1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 0 -1 64 2 0.101 8 -1 -1 -1 -1 -1 0 8 -1 -1 -1 -1 -1 -1 200 0 0 0 0 0 0 0 0 0 2902 4758 3597	v1.0-uslims3_Aalto-61
3 16 489 0 0 0 0 0 0 0 0 0 599 0 0 0 0 0 0 0 0 0 27 vbar 0 s ff0 1.0E-5 50 -1 -1 1 2 -1 -1 -1 -1 100 -1 100 -1 64 -1 -1 3 0 50 20 20 20 4 200 0.05 4 -1 100 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 200 0 0 0 0 0 0 0 0 0 43982 13579 43989	v1.0-uslims3_Aalto-64
